month,year,department,cost_center,budget_revenue,actual_revenue,forecast_revenue,budget_expense,actual_expense,forecast_expense																																																																																																																																																																																																																																																																																																																																																								Column344	Column345	Column346	Column347	Column348	Column349	Column350	Column351
Sep,	2023,	Sales,	Sales Ops,	99000,	100000,	100000,	64000,	68000,	65000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2023,	Marketing,	Digital,	170000,	175000,	175000,	139000,	144000,	141000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2023,	Marketing,	Events,	85000,	84000,	86000,	97500,	103000,	101500																																																																																																																																																																																																																																																																																																																																																															
Sep,	2023,	Marketing,	Brand,	68000,	67000,	69000,	74000,	77000,	75000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2023,	Customer Success,	Support,	124000,	126000,	126000,	94000,	98000,	96000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2023,	Customer Success,	Onboarding,	103000,	104000,	104500,	89000,	93000,	91000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2023,	Product,	Product Management,	0,	0,	0,	156000,	160000,	158000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2023,	Product,	UX,	0,	0,	0,	98000,	99000,	98500																																																																																																																																																																																																																																																																																																																																																															
Sep,	2023,	Engineering,	Backend,	0,	0,	0,	236000,	244000,	241000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2023,	Engineering,	Frontend,	0,	0,	0,	196000,	202000,	199000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2023,	Engineering,	DevOps,	0,	0,	0,	176000,	181000,	178000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2023,	G&A,	HR,	0,	0,	0,	74000,	77000,	75000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2023,	G&A,	Finance,	0,	0,	0,	89000,	93000,	91000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2023,	G&A,	Legal,	0,	0,	0,	64000,	67000,	65000		

Oct,	2023,	Sales,	Field Sales,	500000,	520000,	510000,	200000,	210000,	205000																																																																																																																																																																																																																																																																																																																																																															
Oct,	2023,	Sales,	Inside Sales,	370000,	380000,	378000,	132000,	136000,	134000																																																																																																																																																																																																																																																																																																																																																															
Oct,	2023,	Sales,	Sales Ops,	105000,	107000,	106000,	65000,	69000,	66000																																																																																																																																																																																																																																																																																																																																																															
Oct,	2023,	Marketing,	Digital,	185000,	195000,	190000,	145000,	150000,	147000																																																																																																																																																																																																																																																																																																																																																															
Oct,	2023,	Marketing,	Events,	90000,	92000,	91000,	99000,	105000,	103000																																																																																																																																																																																																																																																																																																																																																															
Oct,	2023,	Marketing,	Brand,	72000,	73000,	73500,	76000,	79000,	77000																																																																																																																																																																																																																																																																																																																																																															
Oct,	2023,	Customer Success,	Support,	130000,	133000,	132000,	95000,	99000,	97000																																																																																																																																																																																																																																																																																																																																																															
Oct,	2023,	Customer Success,	Onboarding,	108000,	110000,	109000,	90000,	94000,	92000																																																																																																																																																																																																																																																																																																																																																															
Oct,	2023,	Product,	Product Management,	0,	0,	0,	160000,	165000,	162000																																																																																																																																																																																																																																																																																																																																																															
Oct,	2023,	Product,	UX,	0,	0,	0,	100000,	102000,	101000																																																																																																																																																																																																																																																																																																																																																															
Oct,	2023,	Engineering,	Backend,	0,	0,	0,	240000,	248000,	245000																																																																																																																																																																																																																																																																																																																																																															
Oct,	2023,	Engineering,	Frontend,	0,	0,	0,	200000,	206000,	203000																																																																																																																																																																																																																																																																																																																																																															
Oct,	2023,	Engineering,	DevOps,	0,	0,	0,	180000,	186000,	183000																																																																																																																																																																																																																																																																																																																																																															
Oct,	2023,	G&A,	HR,	0,	0,	0,	76000,	79000,	77000																																																																																																																																																																																																																																																																																																																																																															
Oct,	2023,	G&A,	Finance,	0,	0,	0,	90000,	94000,	92000																																																																																																																																																																																																																																																																																																																																																															
Oct,	2023,	G&A,	Legal,	0,	0,	0,	65000,	68000,	66000			

Nov,	2023,	Sales,	Field Sales,	520000,	535000,	530000,	205000,	215000,	210000																																																																																																																																																																																																																																																																																																																																																															
Nov,	2023,	Sales,	Inside Sales,	380000,	390000,	388000,	134000,	138000,	136000																																																																																																																																																																																																																																																																																																																																																															
Nov,	2023,	Sales,	Sales Ops,	108000,	110000,	109000,	66000,	70000,	67000																																																																																																																																																																																																																																																																																																																																																															
Nov,	2023,	Marketing,	Digital,	190000,	198000,	195000,	147000,	152000,	149000																																																																																																																																																																																																																																																																																																																																																															
Nov,	2023,	Marketing,	Events,	92000,	93000,	93500,	99500,	106000,	104000																																																																																																																																																																																																																																																																																																																																																															
Nov,	2023,	Marketing,	Brand,	74000,	75000,	75500,	77000,	80000,	78000																																																																																																																																																																																																																																																																																																																																																															
Nov,	2023,	Customer Success,	Support,	132000,	135000,	134000,	96000,	100000,	98000																																																																																																																																																																																																																																																																																																																																																															
Nov,	2023,	Customer Success,	Onboarding,	110000,	112000,	111000,	91000,	95000,	93000																																																																																																																																																																																																																																																																																																																																																															
Nov,	2023,	Product,	Product Management,	0,	0,	0,	162000,	167000,	164000																																																																																																																																																																																																																																																																																																																																																															
Nov,	2023,	Product,	UX,	0,	0,	0,	101000,	103000,	102000																																																																																																																																																																																																																																																																																																																																																															
Nov,	2023,	Engineering,	Backend,	0,	0,	0,	242000,	250000,	247000																																																																																																																																																																																																																																																																																																																																																															
Nov,	2023,	Engineering,	Frontend,	0,	0,	0,	202000,	208000,	205000																																																																																																																																																																																																																																																																																																																																																															
Nov,	2023,	Engineering,	DevOps,	0,	0,	0,	182000,	188000,	185000																																																																																																																																																																																																																																																																																																																																																															
Nov,	2023,	G&A,	HR,	0,	0,	0,	77000,	80000,	78000																																																																																																																																																																																																																																																																																																																																																															
Nov,    2023,	G&A,	Finance,	0,	0,	0,	91000,	95000,	93000																																																																																																																																																																																																																																																																																																																																																															
Nov,	2023,	G&A,	Legal,	0,	0,	0,	66000,	69000,	67000		

Dec,	2023,	Sales,	Field Sales,	550000,	575000,	560000,	210000,	220000,	215000																																																																																																																																																																																																																																																																																																																																																															
Dec,	2023,	Sales,	Inside Sales,	400000,	410000,	405000,	138000,	142000,	140000																																																																																																																																																																																																																																																																																																																																																															
Dec,	2023,	Sales,	Sales Ops,	112000,	115000,	113000,	67000,	71000,	68000																																																																																																																																																																																																																																																																																																																																																															
Dec,	2023,	Marketing,	Digital,	200000,	210000,	205000,	150000,	155000,	152000																																																																																																																																																																																																																																																																																																																																																															
Dec,	2023,	Marketing,	Events,	95000,	97000,	96000,	100000,	107000,	105000																																																																																																																																																																																																																																																																																																																																																															
Dec,	2023,	Marketing,	Brand,	76000,	78000,	77000,	78000,	81000,	79000																																																																																																																																																																																																																																																																																																																																																															
Dec,	2023,	Customer Success,	Support,	135000,	138000,	137000,	97000,	101000,	99000																																																																																																																																																																																																																																																																																																																																																															
Dec,	2023,	Customer Success,	Onboarding,	112000,	115000,	114000,	92000,	96000,	94000																																																																																																																																																																																																																																																																																																																																																															
Dec,	2023,	Product,	Product Management,	0,	0,	0,	165000,	170000,	167000																																																																																																																																																																																																																																																																																																																																																															
Dec,	2023,	Product,	UX,	0,	0,	0,	103000,	105000,	104000																																																																																																																																																																																																																																																																																																																																																															
Dec,	2023,	Engineering,	Backend,	0,	0,	0,	245000,	253000,	250000																																																																																																																																																																																																																																																																																																																																																															
Dec,	2023,	Engineering,	Frontend,	0,	0,	0,	205000,	211000,	208000																																																																																																																																																																																																																																																																																																																																																															
Dec,	2023,	Engineering,	DevOps,	0,	0,	0,	185000,	191000,	188000																																																																																																																																																																																																																																																																																																																																																															
Dec,	2023,	G&A,	HR,	0,	0,	0,	78000,	81000,	79000																																																																																																																																																																																																																																																																																																																																																															
Dec,	2023,	G&A,	Finance,	0,	0,	0,	92000,	96000,	94000																																																																																																																																																																																																																																																																																																																																																															
Dec,	2023,	G&A,	Legal,	0,	0,	0,	67000,	70000,	68000																																																																																																																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																																																																																																																																								
Jan,    2024,	Sales,	Field Sales,	560000,	552000,	570000,	225000,	236000,	230000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2024,	Sales,	Inside Sales,	410000,	402000,	415000,	145000,	150000,	147000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2024,	Sales,	Sales Ops,	118000,	115000,	120000,	72000,	76000,	74000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2024,	Marketing,	Digital,	210000,	218000,	215000,	160000,	168000,	163000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2024,	Marketing,	Events,	98000,	95000,	97000,	112000,	118000,	115000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2024,	Marketing,	Brand,	80000,	78000,	81000,	86000,	90000,	88000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2024,	Customer Success,	Support,	140000,	138000,	142000,	102000,	108000,	105000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2024,	Customer Success,	Onboarding,	118000,	115000,	120000,	96000,	100000,	98000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2024,	Product,	Product Management,	0,	0,	0,	175000,	182000,	178000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2024,	Product,	UX,	0,	0,	0,	112000,	118000,	115000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2024,	Engineering,	Backend,	0,	0,	0,	260000,	272000,	266000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2024,	Engineering,	Frontend,	0,	0,	0,	215000,	224000,	219000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2024,	Engineering,	DevOps,	0,	0,	0,	195000,	204000,	199000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2024,	G&A,	HR,	0,	0,	0,	90000,	94500,	92000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2024,	G&A,	Finance,	0,	0,	0,	105000,	110000,	108000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2024,	G&A,	Legal,	0,	0,	0,	75000,	78000,	76000																																																																																																																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																																																																																																																																								
Feb,	2024,	Sales,	Field Sales,	570000,	565000,	580000,	228000,	238000,	233000																																																																																																																																																																																																																																																																																																																																																															
Feb,	2024,	Sales,	Inside Sales,	420000,	415000,	425000,	147000,	152000,	149000																																																																																																																																																																																																																																																																																																																																																															
Feb,	2024,	Sales,	Sales Ops,	120000,	118000,	122000,	73000,	77000,	75000																																																																																																																																																																																																																																																																																																																																																															
Feb,	2024,	Marketing,	Digital,	215000,	220000,	218000,	162000,	170000,	165000																																																																																																																																																																																																																																																																																																																																																															
Feb,	2024,	Marketing,	Events,	99000,	96000,	98000,	113000,	119000,	116000																																																																																																																																																																																																																																																																																																																																																															
Feb,	2024,	Marketing,	Brand,	81000,	79500,	82000,	87000,	91000,	89000																																																																																																																																																																																																																																																																																																																																																															
Feb,	2024,	Customer Success,	Support,	142000,	140000,	144000,	103000,	109000,	106000																																																																																																																																																																																																																																																																																																																																																															
Feb,	2024,	Customer Success,	Onboarding,	120000,	118000,	122000,	97000,	101000,	99000																																																																																																																																																																																																																																																																																																																																																															
Feb,	2024,	Product,	Product Management,	0,	0,	0,	178000,	185000,	181000																																																																																																																																																																																																																																																																																																																																																															
Feb,	2024,	Product,	UX,	0,	0,	0,	113000,	119000,	116000																																																																																																																																																																																																																																																																																																																																																															
Feb,	2024,	Engineering,	Backend,	0,	0,	0,	262000,	274000,	268000																																																																																																																																																																																																																																																																																																																																																															
Feb,	2024,	Engineering,	Frontend,	0,	0,	0,	217000,	226000,	221000																																																																																																																																																																																																																																																																																																																																																															
Feb,	2024,	Engineering,	DevOps,	0,	0,	0,	197000,	206000,	201000																																																																																																																																																																																																																																																																																																																																																															
Feb,	2024,	G&A,	HR,	0,	0,	0,	91000,	95500,	93000																																																																																																																																																																																																																																																																																																																																																															
Feb,	2024,	G&A,	Finance,	0,	0,	0,	106000,	111000,	109000																																																																																																																																																																																																																																																																																																																																																															
Feb,	2024,	G&A,	Legal,	0,	0,	0,	76000,	79000,	77000																																																																																																																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																																																																																																																																								
Mar,	2024,	Sales,	Field Sales,	580000,	595000,	590000,	230000,	240000,	235000																																																																																																																																																																																																																																																																																																																																																															
Mar,	2024,	Sales,	Inside Sales,	430000,	438000,	435000,	148000,	153000,	150000																																																																																																																																																																																																																																																																																																																																																															
Mar,	2024,	Sales,	Sales Ops,	122000,	124000,	123000,	74000,	78000,	76000																																																																																																																																																																																																																																																																																																																																																															
Mar,	2024,	Marketing,	Digital,	220000,	230000,	225000,	165000,	172000,	168000																																																																																																																																																																																																																																																																																																																																																															
Mar,	2024,	Marketing,	Events,	100000,	102000,	101000,	115000,	121000,	118000																																																																																																																																																																																																																																																																																																																																																															
Mar,	2024,	Marketing,	Brand,	82000,	83000,	82500,	88000,	92000,	90000																																																																																																																																																																																																																																																																																																																																																															
Mar,	2024,	Customer Success,	Support,	145000,	148000,	147000,	104000,	110000,	107000																																																																																																																																																																																																																																																																																																																																																															
Mar,	2024,	Customer Success,	Onboarding,	122000,	124000,	123000,	98000,	102000,	100000																																																																																																																																																																																																																																																																																																																																																															
Mar,	2024,	Product,	Product Management,	0,	0,	0,	180000,	188000,	184000																																																																																																																																																																																																																																																																																																																																																															
Mar,	2024,	Product,	UX,	0,	0,	0,	115000,	121000,	118000																																																																																																																																																																																																																																																																																																																																																															
Mar,	2024,	Engineering,	Backend,	0,	0,	0,	265000,	278000,	272000																																																																																																																																																																																																																																																																																																																																																															
Mar,	2024,	Engineering,	Frontend,	0,	0,	0,	220000,	230000,	225000																																																																																																																																																																																																																																																																																																																																																															
Mar,	2024,	Engineering,	DevOps,	0,	0,	0,	200000,	210000,	205000																																																																																																																																																																																																																																																																																																																																																															
Mar,	2024,	G&A,	HR,	0,	0,	0,	92000,	97000,	94000																																																																																																																																																																																																																																																																																																																																																															
